Unit,Product,BALANCE,Country,Time,Value
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,7-Jun,345
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,7-Jul,352
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,7-Aug,351
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,7-Sep,349
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,7-Oct,351
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,7-Nov,352
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,7-Dec,362
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Jan,352
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Feb,362
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Mar,361
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Apr,375
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-May,371
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Jun,377
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Jul,390
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Aug,388
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Sep,356
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Oct,374
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Nov,391
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,8-Dec,385
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Jan,380
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Feb,393
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Mar,389
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Apr,398
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-May,399
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Jun,401
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Jul,419
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Aug,392
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Sep,382
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Oct,400
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Nov,414
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,9-Dec,404
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Jan,465
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Feb,428
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Mar,361
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Apr,434
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-May,430
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Jun,432
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Jul,443
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Aug,402
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Sep,412
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Oct,430
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,10-Nov,420
